product_title,product_url,product_image,product_brand_type,product_brand_name,product_offers_type,product_offers_price,product_offers_priceCurrency,product_rating_value,product_reviewCount,sale_price,sale_price_currency
Sunshine Metal Jewelry Cleaning & Polishing Cloth | Best Selling Tarnish Removal | Jewelry Care and Maintenance,https://www.etsy.com/listing/523344070/sunshine-metal-jewelry-cleaning,https://i.etsystatic.com/10859384/r/il/85f98f/2898515114/il_fullxfull.2898515114_gjyd.jpg,Brand,LayersByDesign,Offer,3.75,USD,4.9493,1174,48.00,USD
"1000 Digital Products Ideas For Moms Edition, Passive Income Mom, Best-Selling Printables, Start Selling Digital Products on Etsy FREE Today",https://www.etsy.com/listing/1515557942/1000-digital-products-ideas-for-moms,https://i.etsystatic.com/41605496/r/il/203f5d/5118499710/il_fullxfull.5118499710_1amd.jpg,Brand,CraftyBusinessLover,Offer,7.80,USD,5,1,48.00,USD
"Enamel pin fox pin, trending now, most popular item, best sellers, top selling items, top selling shops, popular right now, most sold items",https://www.etsy.com/listing/259237770/enamel-pin-fox-pin-trending-now-most,https://i.etsystatic.com/5117032/r/il/36b114/3534745217/il_fullxfull.3534745217_ne0l.jpg,Brand,boygirlparty,Offer,10.00,USD,4.9921,17948,48.00,USD
"Claude Monet Bridge Over a Pond of Water Lilies in Monet Garden, Famous Art Prints, Monet Digital Download, Monet Painting Vintage Poster",https://www.etsy.com/listing/1453096347/claude-monet-bridge-over-a-pond-of-water,https://i.etsystatic.com/37368784/r/il/344ad1/4782442054/il_fullxfull.4782442054_bxw9.jpg,Brand,WallArtGalaxy,Offer,7.58,USD,4.7727,22,48.00,USD
Halloween Etsy Digital Product ideas 100 digital product ideas to sell on etsy products list of 100 digital products that sell High demand,https://www.etsy.com/listing/1520118856/halloween-etsy-digital-product-ideas-100,https://i.etsystatic.com/43305966/r/il/19e9f5/5187460755/il_fullxfull.5187460755_eylz.jpg,Brand,ShansIdeaOutlet,Offer,1.93,USD,4.8036,224,1.54,USD
"Ghost BOO! Svg File, Best Selling Product for Cricut",https://www.etsy.com/listing/1518525893/ghost-boo-svg-file-best-selling-product,https://i.etsystatic.com/13419319/r/il/acec31/5068048148/il_fullxfull.5068048148_eysh.jpg,Brand,Kukaiart1,Offer,2.00,USD,5,8,1.54,USD
Spooky vibes ghost tshirt / Cute free spirit pastel Halloween tee shirt / Best selling shirts for women / Whimsigoth aesthetic clothing,https://www.etsy.com/listing/1540844639/spooky-vibes-ghost-tshirt-cute-free,https://i.etsystatic.com/24944523/r/il/a3c444/5204001662/il_fullxfull.5204001662_orgg.jpg,Brand,Albrite360,Offer,22.99,USD,4.8159,523,1.54,USD
"Circuit Board Coasters Set - Personalized PCB Gift for Geeky Home Decor, Unique for Gamers and Tech Enthusiasts",https://www.etsy.com/listing/1506745367/circuit-board-coasters-set-personalized,https://i.etsystatic.com/41495379/r/il/8d7f6b/5014031754/il_fullxfull.5014031754_qthy.jpg,Brand,SharingGardenofGrace,Offer,28.55,USD,4.8947,19,1.54,USD
"Dark Forest Red Full Moon Tumbler Wraps For Sublimations Designs, Halloween Fall Season 20oz Skinny Tumbler Digital downloads PNG",https://www.etsy.com/listing/1514921610/dark-forest-red-full-moon-tumbler-wraps,https://i.etsystatic.com/44076714/r/il/e04ec5/5115654962/il_fullxfull.5115654962_2wbf.jpg,Brand,DigitalNestEgg,Offer,3.97,USD,5,40,1.54,USD
"The Best Sellers Collection: Set Of Three Prints, Top Selling Prints, Most Popular Prints, Black And White Photography, London Street Photo",https://www.etsy.com/listing/926712241/the-best-sellers-collection-set-of-three,https://i.etsystatic.com/11702343/r/il/ead163/2788210307/il_fullxfull.2788210307_5obc.jpg,Brand,AmadeusLong,Offer,46.54,USD,4.8182,99,1.54,USD
"1000 Digital Product Ideas for Passive Income,  Etsy Digital Download Success, Small Business Ideas, Digital Product Best Seller, 2023",https://www.etsy.com/listing/1554551917/1000-digital-product-ideas-for-passive,https://i.etsystatic.com/46396596/r/il/431741/5281788513/il_fullxfull.5281788513_862z.jpg,Brand,digitalrichesemma,Offer,1.55,USD,,,1.54,USD
"Flower necklace with rose birth month flower best selling items. Trending now birth flower jewelry, gold plated necklace, aesthetic necklace",https://www.etsy.com/listing/1535017878/flower-necklace-with-rose-birth-month,https://i.etsystatic.com/34532934/r/il/522697/4838176266/il_fullxfull.4838176266_9urs.jpg,Brand,BijouArtStudioDesign,Offer,26.00,USD,4.9167,42,1.54,USD
Etsy Product Planner | Etsy Etsy Shop Listing Planner | Etsy SEO Planner | Selling on Etsy | How to Start an Etsy Shop | Instant Download,https://www.etsy.com/listing/787582422/etsy-product-planner-etsy-etsy-shop,https://i.etsystatic.com/22967218/r/il/062212/2359693219/il_fullxfull.2359693219_42o2.jpg,Brand,MarketingTemplatesCo,Offer,9.99,USD,4.815,2344,3.00,USD
"Farm digital paper, yellow tractor, polka dots, stripes, plaid, tractor birthday, commercial use, scrapbook papers, D505",https://www.etsy.com/listing/694712155/farm-digital-paper-yellow-tractor-polka,https://i.etsystatic.com/8549149/r/il/b71c81/1876373847/il_fullxfull.1876373847_fzos.jpg,Brand,LittlePandaDigitals,Offer,1.25,USD,4.912,5738,3.00,USD
